date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
12/3/1922,1922,0,,ARI,DAY,1555.413,1495.119,0.672882269,0.327117731,1532.446,1518.086,3,7
12/3/1922,1922,0,,RAC,GB,1500.827,1464.332,0.642045246,0.357954754,1464.371,1500.787,0,14
12/3/1922,1922,0,,CBD,MIL,1688.101,1344.098,0.913284162,0.086715838,1693.301,1338.899,40,6
12/3/1922,1922,0,,CHI,TOL,1651.399,1567.396,0.702186213,0.297813787,1668.89,1549.905,22,0
12/10/1922,1922,0,,TOL,CBD,1549.905,1693.301,0.38905561,0.61094439,1527.397,1715.809,0,19
12/10/1922,1922,0,,ARI,CHI,1532.446,1668.89,0.398608903,0.601391097,1561.071,1640.265,9,0
9/30/1923,1923,0,,ARI,BFF,1542.38,1557.657,0.571072581,0.428927419,1554.01,1546.028,3,0
9/30/1923,1923,0,,RAC,TOL,1477.914,1519.931,0.533027036,0.466972964,1476.907,1520.938,7,7
9/30/1923,1923,0,,DUL,AKR,1300,1512.692,0.299394367,0.700605633,1320.823,1491.869,10,7
9/30/1923,1923,0,,RII,CHI,1557.347,1595.177,0.539021261,0.460978739,1569.972,1582.552,3,0
9/30/1923,1923,0,,DAY,COL,1513.724,1358.787,0.780067392,0.219932608,1516.496,1356.015,7,6
9/30/1923,1923,0,,CBD,HAM,1645.539,1417.251,0.844000652,0.155999348,1653.496,1409.294,17,0
9/30/1923,1923,0,,GB,MNN,1502.192,1464.532,0.643585032,0.356414968,1519.66,1447.063,12,0
9/30/1923,1923,0,,MIL,OOR,1394.266,1407.927,0.573349681,0.426650319,1414.986,1387.207,13,2
10/7/1923,1923,0,,MNN,DUL,1447.063,1320.823,0.75042232,0.24957768,1407.648,1360.238,0,10
10/7/1923,1923,0,,HAM,DAY,1409.294,1516.496,0.439563381,0.560436619,1433.058,1492.732,7,0
10/7/1923,1923,0,,MIL,COL,1414.986,1356.015,0.671203741,0.328796259,1409.765,1361.236,0,0
